timestamp,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,gravity_x,gravity_y,gravity_z,activity
0.0,0.73317844,0.77271575,0.5923574,-0.07506007,0.096516706,0.12507465,5.286252,6.1922016,5.4664903,punching
0.02,0.7678346,0.73854774,0.5918693,0.058108557,0.35308012,-0.14920384,5.291561,6.1825757,5.4722276,punching
0.03,0.6333591,0.6770453,0.53573614,0.13935363,0.31764993,-0.17608191,5.2445517,6.1972785,5.5007834,punching
0.05,0.5313431,0.7136539,0.48616204,0.12530373,0.18142697,-0.05207626,5.19676,6.229331,5.509937,punching
0.06,0.5313431,0.7136539,0.48616204,0.07154759,0.13805555,0.035888333,5.184817,6.2401447,5.5089493,punching
0.08,0.5315872,0.7409883,0.46029195,0.01656972,0.08735373,0.08353582,5.184817,6.2401447,5.5089493,punching
0.09,0.6055366,0.70096296,0.47737598,-0.022525655,-0.12156218,0.1226312,5.1928973,6.2372036,5.5046744,punching
0.12,0.5730769,0.7102371,0.5464747,0.095371336,-0.13072516,0.027947085,5.225643,6.2321963,5.47929,punching
0.14,0.54915935,0.6819264,0.5462307,0.19494237,-0.058643065,0.018784106,5.239683,6.2355456,5.462048,punching
0.15,0.56063,0.65361583,0.47639978,0.32383493,-0.25961772,0.118966006,5.252577,6.256049,5.4261017,punching
0.17,0.564779,0.6570326,0.4702983,0.33605224,-0.33964106,0.16539176,5.265699,6.2698655,5.397357,punching
0.18,0.5867441,0.66923547,0.4751795,0.31528282,-0.42271876,0.21242839,5.320786,6.294648,5.313836,punching
0.2,0.57698184,0.6733844,0.51474726,0.29084823,-0.38728857,0.20815234,5.356493,6.303855,5.266844,punching
0.21,0.675581,0.7258568,0.6238408,0.27313313,-0.16249016,0.19776763,5.4540253,6.3190966,5.147114,punching
0.23,0.77100736,0.85447496,0.8637491,0.17783815,0.28221974,0.08109236,5.4723845,6.3234344,5.1222477,punching
0.25,0.9806526,0.9643007,1.1180567,0.21082486,0.27000242,-0.11071932,5.462802,6.3341208,5.119271,punching
0.27,1.0079869,0.9225669,1.4028716,0.96524346,-0.6389651,-0.26099217,5.4220324,6.363315,5.1264086,punching
0.28,0.96722937,0.9091437,1.5354251,1.6176475,-1.0616838,-0.27931812,5.422496,6.4069595,5.071257,punching
0.3,0.8769282,0.94502014,1.4548558,3.682372,-1.8490891,-0.34529158,5.4915366,6.6021814,4.7354565,punching
0.32,0.81518173,0.9052388,1.264003,4.3879213,-2.0561724,-0.4118759,5.545918,6.7561445,4.4460716,punching
0.33,0.6494669,0.7827221,0.79516906,5.273065,-2.557082,-0.52732944,5.6532784,7.136044,3.6452003,punching
0.35,0.42441553,0.73317844,0.09176553,4.8815007,-2.1245892,-0.3538437,5.7325115,7.515702,2.6120238,punching
0.36,0.4075756,0.7046238,-0.17328064,4.2376485,-2.0690005,-0.26832256,5.7512503,7.665114,2.0830503,punching
0.38,0.307024,0.62872195,-0.061502427,3.4447455,-2.1025982,-0.18768835,5.7725525,7.84369,1.1507173,punching
0.39,0.23942018,0.5633146,0.01513155,3.4325283,-2.0482311,-0.11988231,5.773842,7.8917856,0.7433178,punching
0.41,0.25992095,0.5115745,-0.008786061,3.6628244,-2.0708332,-0.10338894,5.7659726,7.9323874,-0.025324704,punching
0.42,0.25748038,0.44271985,-0.078830495,3.7440693,-2.0995438,-0.11988231,5.755849,7.9284644,-0.4240528,punching
0.44,0.22477673,0.4429639,-0.057841565,3.8528035,-1.8619173,-0.11071932,5.70255,7.879028,-1.2536589,punching
0.47,0.20574026,0.32093528,-0.31190515,4.270635,-1.6914859,0.22770002,5.5829372,7.673085,-2.474781,punching
0.49,0.18231077,0.3338703,-0.47591165,4.3329434,-1.7996091,0.43478334,5.5480356,7.5543656,-2.8846173,punching
0.5,0.20574026,0.4087959,-0.6973021,4.2193227,-2.0433443,1.2832751,5.4974136,7.217347,-3.7226586,punching
0.52,0.19622204,0.38170552,-0.78052557,4.232762,-2.2131648,1.6455183,5.491718,6.99603,-4.131174,punching
0.53,0.3785328,0.37999713,-1.2766939,4.1252494,-2.9382617,2.6687176,5.508935,6.432511,-4.944099,punching
0.55,0.6126142,0.4356422,-1.3545482,3.7129154,-3.4025195,2.957046,5.51347,5.703121,-5.765906,punching
0.56,0.7339106,0.4283205,-1.3037844,3.4539084,-3.118467,2.5129468,5.4769864,5.3108654,-6.161732,punching
0.58,0.70145106,0.38268176,-1.2725451,3.2339969,-2.2046127,1.619251,5.3192906,4.5637064,-6.859147,punching
0.6,0.6550802,0.27334413,-1.3169634,3.0647874,-1.3982705,0.889878,5.2291446,4.238781,-7.1315312,punching
0.61,0.6550802,0.27334413,-1.3169634,3.0647874,-1.3982705,0.889878,5.2291446,4.238781,-7.1315312,punching
