timestamp,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,gravity_x,gravity_y,gravity_z,activity
0.0,-0.17805916,0.60482186,0.725835,0.29240647,-0.6752246,0.13728191,-0.873539,6.387013,7.3900876,waving
0.02,-0.09381645,0.6001875,0.75440377,0.17949176,-0.4888088,0.28321883,-0.8328399,6.4069815,7.3774896,waving
0.03,-0.09381645,0.6001875,0.75440377,0.17949176,-0.4888088,0.28321883,-0.8328399,6.4069815,7.3774896,waving
0.05,-0.09381645,0.6001875,0.75440377,0.17949176,-0.4888088,0.28321883,-0.8328399,6.4069815,7.3774896,waving
0.06,0.026830835,0.7703803,0.7841921,0.037815772,-0.53887475,-0.7320814,-0.61410284,6.4122763,7.394321,waving
0.08,-0.16388151,0.712755,0.7060473,0.2742975,-2.1569638,-0.43900916,-0.55532515,6.419459,7.392737,waving
0.09,-0.06500379,0.7447386,0.8784354,0.587476,-3.341636,0.1532604,-0.20838308,6.474407,7.3626766,waving
0.11,0.104701236,0.79626596,0.9890516,0.8559147,-3.6739886,0.36630702,-0.07872803,6.5239472,7.3215175,waving
0.13,0.31837222,0.8455981,0.9021258,1.3151634,-3.5845091,0.33435002,0.6587246,6.676353,7.152817,waving
0.14,0.6167738,0.7005287,0.6252194,1.1745526,-3.8923614,-0.077895164,1.193819,6.8563485,6.9091005,waving
0.16,0.65586144,0.69174767,0.58811355,1.0627031,-4.023385,-0.23874535,1.3294905,6.8959494,6.8446136,waving
0.17,0.6257987,1.1002777,0.6554956,0.55871475,-3.2979615,-1.1794792,1.8910413,7.0726113,6.5247617,waving
0.19,0.6257987,1.1002777,0.6554956,0.55871475,-3.2979615,-1.1794792,1.8910413,7.0726113,6.5247617,waving
0.2,0.6257987,1.1002777,0.6554956,0.55871475,-3.2979615,-1.1794792,1.8910413,7.0726113,6.5247617,waving
0.22,0.6257987,1.1002777,0.6554956,0.55871475,-3.2979615,-1.1794792,1.8910413,7.0726113,6.5247617,waving
0.23,0.6053097,1.0409449,0.5465868,0.9400681,-3.6601408,-2.1456456,2.3257453,7.411656,5.9857035,waving
0.25,0.7203164,1.0250598,0.35441092,0.36484233,-4.2087355,-1.9336642,2.4357479,7.6511345,5.6300673,waving
0.27,0.8748986,0.90371126,0.42377475,0.4511262,-4.860658,-2.014622,2.4872973,7.6867523,5.5585594,waving
0.28,0.924932,0.9710933,0.6344882,1.0872035,-5.804455,-2.3778665,2.73112,7.865678,5.180973,waving
0.3,0.924932,0.9710933,0.6344882,1.0872035,-5.804455,-2.3778665,2.9454665,8.073141,4.7243,waving
0.31,0.95593995,0.8814843,0.6760151,3.3071492,-10.044215,-3.4931655,3.169977,8.397875,3.9493454,waving
0.33,0.9330117,0.83215225,0.55244076,5.4290934,-13.877057,-4.5307026,3.2758222,8.817334,2.7738054,waving
0.35,1.2099181,0.7789174,0.2757783,5.727492,-16.438942,-5.3819566,2.952076,9.3176775,0.7978224,waving
0.36,1.314406,0.8345914,0.3131585,5.6602488,-16.620031,-5.4852843,2.952076,9.3176775,0.7978224,waving
0.38,1.5749699,0.71787727,0.65086114,3.3785198,-15.934022,-6.316166,1.0736696,9.608282,-1.6427193,waving
