timestamp,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,gravity_x,gravity_y,gravity_z,activity
0.0,0.5525761,-0.66777116,0.4898229,0.06910413,-0.10751228,0.123242065,4.8772173,-6.8702803,5.0181837,waving
0.02,0.48835856,-0.6775334,0.48665017,-0.026190847,0.06841691,0.10552697,4.8743997,-6.873222,5.016892,waving
0.03,0.44882128,-0.72414833,0.49201941,-0.18379408,0.021380283,0.09636399,4.8640018,-6.8799553,5.0177646,waving
0.05,0.46322066,-0.769543,0.4737151,-0.24426974,-0.6927212,0.0926988,4.85312,-6.9236393,4.9679613,waving
0.06,0.4720067,-0.77393603,0.57576156,-0.22838724,-0.89736104,0.072540246,4.879931,-6.9414496,4.916575,waving
0.08,0.47932845,-0.82714057,0.61285824,-0.1764637,-0.8979719,-0.0038179078,4.916521,-6.9575944,4.856951,waving
0.09,0.4600479,-0.9010899,0.5252417,-0.06345363,-1.0531317,0.0047342055,4.9955554,-6.97865,4.74479,waving
0.11,0.53475994,-0.8251881,0.5247536,-0.018860465,-1.3072516,0.21731532,5.084786,-6.991661,4.62945,waving
0.13,0.5325634,-0.8254321,0.4471129,-0.07200574,-1.5454891,0.28206703,5.1269317,-7.004783,4.562653,waving
0.15,0.52450955,-0.8344623,0.39464056,-0.08055785,-2.3408356,0.26557365,5.21783,-7.0411997,4.4006796,waving
0.16,0.5040087,-0.8556952,0.41855815,-0.074449204,-2.6914723,0.313832,5.3628964,-7.0802016,4.156949,waving
0.18,0.5145032,-0.8339742,0.40342662,-0.17402023,-2.7959301,0.39019018,5.4471245,-7.1020555,4.0074654,waving
0.19,0.5023003,-0.81981885,0.35071027,-0.26198483,-2.9400945,0.37064248,5.524005,-7.1297164,3.8500254,waving
0.21,0.5130389,-0.78174585,0.25796852,-0.4489096,-3.3970215,0.24174993,5.6735454,-7.193545,3.4977088,waving
0.22,0.49885303,-0.7934606,0.28408262,-0.4928919,-3.440393,0.22464569,5.75399,-7.226546,3.292212,waving
0.24,0.49885303,-0.7934606,0.28408262,-0.43424883,-3.43123,0.21181752,5.75399,-7.226546,3.292212,waving
0.26,0.48909074,-0.7622213,0.25211114,-0.14347698,-3.5020905,0.37308595,5.98562,-7.3181124,2.6053298,waving
0.27,0.48054874,-0.71243364,0.19402552,-0.12331842,-3.5112534,0.49403727,6.0892787,-7.3739243,2.1716151,waving
0.29,0.473227,-0.66825926,0.15717287,-0.17585284,-3.5961637,0.37125334,6.1178412,-7.410064,1.9578784,waving
0.3,0.46224442,-0.72976166,0.183287,-0.2363285,-3.9132028,0.16905695,6.1733546,-7.469997,1.5029297,waving
0.32,0.8217713,-0.52450955,0.37536004,-0.21739167,-2.7635543,-0.044745877,6.209047,-7.487546,1.2467805,waving
0.33,0.6401926,-0.6992545,0.29262465,-0.3945426,-2.1630738,-0.117438845,6.282935,-7.4910173,0.76127666,waving
0.35,0.633115,-0.78296614,0.079562664,-0.7726682,-1.527774,-0.07895433,6.3218765,-7.485247,0.41844404,waving
0.36,0.6863195,-0.74831,-0.088104665,-0.80321145,-1.9920316,-0.10644327,6.3410664,-7.4797077,0.1214052,waving
0.38,0.6863195,-0.74831,-0.088104665,-0.80321145,-1.9920316,-0.10644327,6.3410664,-7.4797077,0.1214052,waving
0.4,0.62725765,-0.79687744,-0.009518232,-0.478842,-3.0604348,-0.074067414,6.3508177,-7.4598036,-0.43433425,waving
0.41,0.5725888,-0.6736285,-0.24918245,-0.18929186,-0.9462303,-0.40454552,6.339829,-7.451861,-0.66832715,waving
0.43,0.3660859,-0.5616062,-0.51791996,0.17783815,-0.19181168,-0.68126744,6.3247876,-7.444562,-0.86349255,waving
0.44,0.6231087,-0.63628775,-0.30019042,0.42951462,0.28160888,-0.91156363,6.353016,-7.4141717,-0.9161048,waving
