timestamp,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,gravity_x,gravity_y,gravity_z,activity
0.0,0.65586144,-0.04838697,0.09875576,0.8591104,-3.7185953,0.8061151,5.357327,0.96948636,8.156564,standing
0.02,0.7173894,-0.13238578,0.12634884,-0.20505735,-3.8826413,0.92968214,6.1277847,0.91530925,7.6015034,standing
0.03,0.7371467,-0.15997885,0.19690172,-0.31158066,-4.165993,0.9999875,6.2839317,0.87561315,7.477693,standing
0.05,0.68516195,-0.17290643,0.16711341,0.16883944,-5.774495,1.2631,7.153944,0.64164674,6.676809,standing
0.06,0.7181212,-0.25471,0.16467425,0.46390897,-6.442396,1.4175588,7.5562677,0.55939054,6.2257757,standing
0.08,0.81895024,-0.32968387,0.140496,0.15712187,-6.135609,1.8809352,8.143363,0.4005761,5.4493647,standing
0.09,0.9588974,-0.43200693,0.0787241,-1.4300753,-4.0594697,2.3389854,8.598981,0.13756916,4.712641,standing
0.11,0.92810297,-0.4610635,0.018171793,-1.4300753,-4.0594697,2.3389854,8.8155155,-0.10047043,4.2949967,standing
0.13,0.8966072,-0.6385738,-0.06582701,-2.5890489,-2.4861207,2.7192736,9.08086,-0.69948524,3.6358054,standing
0.14,0.9115166,-0.74821436,0.0015549688,-3.2835808,-2.4701421,3.2987604,9.182852,-1.4501766,3.121315,standing
0.16,0.9217611,-0.77580744,0.024513626,-3.4040854,-2.7971687,3.5469596,9.195275,-1.6602134,2.976744,standing
0.17,1.1361638,-1.1284195,0.32047603,-3.069469,-4.165993,4.338561,9.183789,-2.782382,2.0215735,standing
0.19,1.26608,-1.2554086,0.5504894,-2.4218073,-4.3737135,5.029897,9.005733,-3.732347,1.0661855,standing
0.21,1.3478836,-1.2446458,0.66037387,-2.1448467,-4.065861,5.27064,8.834321,-4.215367,0.59653705,standing
0.22,1.5964651,-1.235377,0.74486053,-1.999975,-2.3485725,5.5848837,8.334896,-5.1637893,-0.18750761,standing
0.24,1.661652,-1.0737212,0.82715195,-2.1874561,0.06737599,5.549731,7.6992693,-6.0415373,-0.6256736,standing
