timestamp,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,gravity_x,gravity_y,gravity_z,activity
0.0,-0.14277348,-0.824944,0.6233527,-0.11049025,0.5852089,-0.3391829,-1.5699446,-7.489525,6.132909,waving
0.02,-0.14472595,-0.7756444,0.52890253,-0.024358252,0.6261369,-0.31719178,-1.5798204,-7.5074625,6.1083965,waving
0.03,-0.12910628,-0.75611985,0.52426547,-0.054901514,0.60231316,-0.366061,-1.6089629,-7.5221453,6.0826654,waving
0.05,-0.14106509,-0.7497744,0.55086774,-0.10377073,0.5693264,-0.43386704,-1.6221099,-7.5307136,6.068559,waving
0.06,-0.15253578,-0.76637024,0.5540405,-0.55275667,0.58093286,-0.5694791,-1.6211612,-7.5660744,6.024672,waving
0.08,-0.07516963,-0.79614526,0.607489,-0.877737,0.47891834,-0.6556111,-1.6124085,-7.608714,5.9730935,waving
0.09,-0.10640897,-0.83275384,0.6133464,-1.1233048,0.06291912,-0.93966347,-1.5449173,-7.7479243,5.809745,waving
0.12,-0.12129646,-0.812009,0.5120626,-1.285795,0.002443461,-0.95004815,-1.4014063,-7.90754,5.628234,waving
0.13,-0.13764828,-0.92549556,0.6001673,-1.1483504,0.18081611,-0.9078985,-1.252667,-8.074225,5.4229045,waving
0.15,-0.073461235,-0.88986325,0.5332956,-0.8588002,0.1863139,-0.90178984,-1.1287981,-8.210866,5.241913,waving
0.16,-0.0656514,-0.8698506,0.4932397,-0.8148179,0.08857546,-0.9665415,-1.0676547,-8.264937,5.169246,waving
0.18,-0.05515694,-0.8693625,0.4024504,-0.94248873,-0.3475823,-1.0783299,-0.9022234,-8.367179,5.0345397,waving
0.19,-0.03807293,-0.8761961,0.383658,-1.0842094,-0.56016344,-1.1363621,-0.79485303,-8.423203,4.9586277,waving
0.21,-0.0319715,-0.88986325,0.44540447,-1.1764501,-0.7257079,-1.1876748,-0.6753914,-8.483154,4.873418,waving
0.23,-0.07199689,-0.9154892,0.47810817,-1.1501828,-0.64812803,-1.1760683,-0.54330784,-8.54563,4.7798786,waving
0.24,0.012690976,-0.8840059,0.35461518,-1.1294135,-0.6921103,-1.2084441,-0.16143706,-8.715444,4.492801,waving
0.27,0.012446919,-0.9164654,0.27310005,-1.3181708,-1.2925909,-1.2890784,-0.031669687,-8.766273,4.395645,waving
0.28,0.012935034,-0.846177,0.2489384,-1.6620879,-1.7562376,-1.4839444,0.2808958,-8.871829,4.169181,waving
0.3,-0.13935669,-0.957223,0.5110864,-1.9553033,-1.3084733,-1.7753271,0.88777435,-9.049078,3.6737049,waving
0.31,-0.117635585,-0.999689,0.5406173,-1.9180405,-0.7049385,-1.7221818,1.088798,-9.101457,3.485418,waving
0.33,-0.076389916,-1.033857,0.56087404,-1.8123609,-0.3408628,-1.585348,1.088798,-9.101457,3.485418,waving
0.35,0.1010397,-0.98040843,0.38463423,-1.7091246,-0.5552765,-1.3196217,1.5332645,-9.213166,2.989431,waving
0.36,0.2111095,-0.8788806,0.18914436,-2.2393556,-1.061073,-1.481501,1.6645141,-9.241483,2.8274908,waving
0.38,0.20769271,-0.978456,0.3499781,-2.46843,-0.8393288,-1.6604844,1.806256,-9.270602,2.6388614,waving
0.39,0.24552159,-1.0092071,0.3778006,-2.2075906,-0.64568454,-1.6232216,2.1329594,-9.322347,2.1712651,waving
0.41,0.27358818,-1.0101835,0.35656762,-1.943086,-0.66950834,-1.6329955,2.293829,-9.334906,1.9411405,waving
0.42,0.32581642,-0.90597105,0.17352471,-1.6284903,-1.0775663,-1.6836973,2.6097765,-9.325624,1.5465549,waving
0.44,0.34290043,-0.9098759,-0.082735404,-1.6975181,-1.1117748,-1.7099645,2.7711582,-9.306232,1.3729087,waving
0.45,0.37291947,-0.90084577,-0.067359805,-2.1422281,-1.4630222,-1.7973182,3.102819,-9.247319,1.0146762,waving
0.47,0.36584184,-0.9120724,-0.07443746,-2.4488823,-1.53205,-1.8834503,3.4425812,-9.165742,0.5549731,waving
0.49,0.37877685,-0.9652769,-0.04612682,-2.501417,-1.3732251,-1.843744,3.6146472,-9.11148,0.2919529,waving
0.5,0.3863426,-0.9984687,-0.11690342,-2.1947625,-0.829555,-1.3061826,3.9381917,-8.977653,-0.2501298,waving
0.52,0.42563587,-0.94087124,-0.110801995,-1.8991036,-0.5742133,-1.0404562,4.0676317,-8.909615,-0.49325055,waving
0.53,0.4412555,-0.8434923,-0.047103047,-1.0151817,0.29626966,-0.34773505,4.2424664,-8.797341,-0.8822008,waving
0.55,0.50742555,-0.7871151,-0.12398108,-0.6700428,0.77274454,0.15317446,4.2870617,-8.763957,-0.9921248,waving
0.56,0.5884525,-0.84861755,-0.27358818,-0.85757846,0.7690793,0.33643404,4.3173656,-8.739399,-1.0739187,waving
0.58,0.66240185,-0.91792977,-0.29482117,-1.5093716,0.43066,0.61254513,4.2862163,-8.745772,-1.1445588,waving
0.6,0.65874106,-0.97674763,-0.23746772,-1.9076558,0.6200282,0.8184067,4.2531633,-8.749557,-1.2352853,waving
0.61,0.6680152,-0.8681421,-0.20476402,-1.7830393,1.0433578,1.2783883,4.143252,-8.7600155,-1.5051737,waving
0.63,0.66020536,-0.863261,-0.25137895,-1.000521,1.2290609,1.7805195,3.9761581,-8.79288,-1.7451527,waving
0.64,0.63043034,-0.81225306,-0.24576566,-0.47639853,1.3811663,1.8666514,3.7187033,-8.883108,-1.852527,waving
0.66,0.65361583,-0.7766207,-0.24161668,-0.1923462,1.5827519,1.8721492,3.7187033,-8.883108,-1.852527,waving
0.68,0.63726395,-0.89620876,-0.36388937,-0.33223432,1.4752395,2.0810652,3.4468672,-9.003091,-1.7981226,waving
0.69,0.68119425,-1.0431311,-0.3116611,-0.36888626,1.6194037,2.9423852,3.1351306,-9.125065,-1.7532681,waving
0.72,0.81493765,-1.0184815,-0.3355787,-0.18379408,2.293188,4.1470113,2.6754558,-9.274967,-1.7282629,waving
0.73,0.81786627,-0.9550265,-0.45687518,-0.26565003,2.7159069,4.5367436,1.9999224,-9.455131,-1.6645974,waving
0.75,0.81786627,-0.9550265,-0.45687518,-0.39209914,2.7855456,4.707175,1.9999224,-9.455131,-1.6645974,waving
0.77,0.5530642,-0.7485541,-0.3121492,-1.0035752,1.8832976,5.0071096,0.7719529,-9.628524,-1.6928339,waving
0.78,0.3487578,-0.83885527,-0.28432667,-1.1959978,1.3377949,5.286886,0.3292723,-9.640215,-1.7685838,waving
0.8,0.28164205,-0.78809136,-0.25723633,-1.2552518,1.1924089,5.4603715,-0.5900404,-9.585762,-1.9836721,waving
0.81,-0.023429496,-0.6741166,-0.14521407,-1.222265,0.98899084,5.92524,-1.5727655,-9.414991,-2.2482028,waving
0.83,-0.19280522,-0.60211974,-0.16815543,-1.2167672,1.4660766,5.958838,-2.6091561,-9.110864,-2.5207531,waving
0.84,-0.31727442,-0.5823511,-0.118855886,-1.2106586,1.4605788,5.9728875,-3.111372,-8.908332,-2.6703877,waving
0.86,-0.4825012,-0.42051062,-0.21769907,-1.4061354,1.2351695,5.9753313,-4.063712,-8.410603,-2.9862897,waving
0.88,-0.55745727,-0.3219115,-0.2945771,-1.6083318,1.1472049,5.9692225,-4.518845,-8.114021,-3.1484501,waving
0.89,-0.8617967,-0.13325526,-0.33826336,-2.111074,1.3023647,5.9380684,-5.3701196,-7.4175773,-3.5087295,waving
0.91,-0.9067031,-0.054668825,-0.37121108,-2.2479076,1.5344934,5.872095,-5.7587104,-7.01463,-3.715137,waving
0.92,-0.97015804,0.08395569,-0.44271985,-2.3450353,1.5442673,5.055979,-6.4057107,-6.1269093,-4.1949644,waving
0.94,-1.1732137,0.20183535,-0.5208487,-2.3535874,1.5906931,4.6277623,-6.845372,-5.244164,-4.670094,waving
0.95,-1.1566178,0.35485923,-0.81420547,-2.4049,1.4721853,3.024852,-6.9766483,-4.833078,-4.9130077,waving
0.97,-1.2442343,0.4554108,-0.76026887,-1.7708219,1.1264355,1.1983649,-7.0979977,-4.1568575,-5.339375,waving
0.98,-1.2374008,0.45126185,-0.7495303,-1.3523793,1.1209377,0.4616614,-7.1048503,-3.924368,-5.5036693,waving
1.0,-1.0372738,0.34729347,-0.7490422,0.264581,0.89675015,-1.4827226,-7.006533,-3.7298653,-5.7590466,waving
1.02,-0.95917547,0.24259292,-0.7163385,1.1613312,0.8179486,-2.3672554,-6.9128466,-3.7844224,-5.8361664,waving
1.03,-0.76637024,0.099819414,-0.5913812,2.5541039,0.92179567,-3.6274705,-6.6381745,-4.2021766,-5.8690815,waving
1.05,-0.5332956,-0.041001618,-0.55965376,3.3005812,0.6407976,-4.4600797,-6.436299,-4.5581365,-5.8281403,waving
