timestamp,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,gravity_x,gravity_y,gravity_z,activity
0.0,-0.37364984,0.5818632,0.7058034,1.0425968,-0.7764217,-0.5765574,-2.871999,5.409333,7.6590548,waving
0.02,-0.172693,0.55134314,0.9473114,0.6910699,-0.8882712,0.10412653,-2.6574714,5.7205133,7.5089254,waving
0.03,0.069790654,0.73571366,1.031798,0.86576813,-0.39187258,-0.6649717,-2.539061,5.845603,7.4533544,waving
0.05,0.02268425,0.64903176,0.9961252,0.9137036,-0.56124467,-0.8684312,-2.5374513,5.8698077,7.434857,waving
0.06,-0.079638794,0.6905281,0.85352546,0.8061151,-1.2696246,-1.6396599,-2.5203192,5.9659886,7.363786,waving
0.08,-0.23251356,0.73864067,0.91874266,0.49599913,-1.4709537,-1.3094378,-2.5138896,5.9914546,7.345286,waving
0.1,-0.23934323,0.78257614,0.92459667,0.39799768,-1.4965192,-1.1251523,-2.500515,5.9935374,7.3481517,waving
0.11,-0.25596005,0.90371126,0.84279305,0.21051668,-1.605173,-0.4636427,-2.3598833,5.9962125,7.392345,waving
0.13,-0.21418934,0.94301236,0.8337681,0.21051668,-1.605173,-0.4636427,-2.3598833,5.9962125,7.392345,waving
0.14,-0.10406094,0.8939241,0.862093,0.26484355,-1.6850655,-0.41677243,-2.1622446,6.0212746,7.4323173,waving
0.16,0.15549688,0.6958943,0.8493789,0.5726959,-2.2688131,-0.6191667,-1.9008929,6.069778,7.464234,waving
0.18,0.17406504,0.66952074,0.82739586,0.5535217,-2.2879875,-0.661776,-1.9008929,6.069778,7.464234,waving
0.19,0.18921836,0.59799224,0.7541598,-0.20598944,-1.2557765,-1.0409989,-1.5418377,6.1117773,7.51261,waving
0.21,0.093481064,0.6758931,1.192722,0.6431344,-0.4366124,-0.9674979,-1.5326799,6.079607,7.540535,waving
0.22,0.10153031,0.65244657,1.1770809,0.8157022,-0.5846798,-0.9973244,-1.543753,6.0918174,7.528411,waving
0.24,0.13769096,0.66952074,0.9126143,2.9738643,-2.1963773,-1.2753502,-1.4605898,6.362944,7.317787,waving
0.25,-0.10381703,0.80285174,0.64378756,3.6620047,-3.9625337,-1.6108986,-1.2451758,6.7868104,6.968438,waving
0.27,-0.16095452,0.8392563,0.65378815,3.7163317,-4.18104,-1.5587022,-1.165853,6.903178,6.8671174,waving
0.29,0.39895618,0.8204442,0.65354425,4.950937,-6.6395974,-1.1581746,-0.53511435,7.5492163,6.2364554,waving
0.3,0.49664482,0.8673372,0.49432763,5.9332147,-9.325183,-1.9347295,0.13466334,8.160464,5.436826,waving
0.32,0.4831989,0.81702936,0.4188659,6.2698283,-10.457526,-2.2873216,0.47104403,8.47575,4.91021,waving
0.33,0.4597524,0.78257614,0.3131585,6.1366744,-11.96483,-2.8605502,0.98910826,9.052016,3.6404717,waving
0.35,0.29224268,0.4744179,0.011829958,5.9673023,-12.297183,-2.8957028,1.1281134,9.284013,2.9504,waving
0.36,0.5921077,0.91712666,0.13708118,5.3846197,-13.214349,-3.0895753,1.1974778,9.542248,1.9188392,waving
0.38,0.6231156,0.7544952,0.46088055,3.4425669,-11.8316765,-3.7138019,0.7823311,9.764697,0.45719713,waving
0.4,0.5115238,0.72985965,0.6459828,2.8865151,-10.963511,-3.8448255,0.46209022,9.795518,0.06846041,waving
0.41,0.15305771,0.56893563,0.9414269,1.7019761,-8.506951,-3.631779,-0.10390365,9.801712,-0.29334125,waving
0.43,0.15305771,0.56893563,0.9414269,1.7019761,-8.506951,-3.631779,-0.10390365,9.801712,-0.29334125,waving
0.44,0.080065645,0.6675694,1.7514132,0.11677617,-3.0432377,-1.2146319,-1.0974807,9.7376585,-0.3793699,waving
0.46,0.080065645,0.6675694,1.7514132,0.25738692,-1.5508461,-0.7672341,-1.2400875,9.724056,-0.2744308,waving
0.47,0.76940465,0.7544952,2.260772,0.25738692,-1.5508461,-0.7672341,-1.2400875,9.724056,-0.2744308,waving
0.49,1.104912,0.7542513,2.0456681,1.9565668,0.6788197,-1.8058363,-1.4928508,9.685929,-0.35291246,waving
0.51,0.847275,0.5579289,1.2530304,3.022865,1.132609,-2.6240685,-1.7441908,9.628855,-0.6429267,waving
0.52,0.67195994,0.47807667,0.8073947,3.2710643,1.356308,-2.804093,-1.9589304,9.565311,-0.9153111,waving
0.54,0.28834,0.36136255,-0.17668714,2.9749296,1.7206177,-3.0000956,-2.189835,9.479978,-1.2268004,waving
0.55,0.118878886,0.4019137,-0.72025543,2.821536,1.7515094,-3.3058176,-2.8895059,9.112761,-2.1860328,waving
0.57,0.0004573438,0.39188263,-0.9080408,2.843906,1.5544413,-3.4826462,-3.0043592,9.035951,-2.3443136,waving
0.59,-0.60415107,0.14427671,-1.2552562,2.8183403,0.26431096,-4.126047,-3.6137764,8.626418,-2.9488833,waving
0.6,-1.7459861,-0.016159479,-1.8027271,3.0217998,-1.7947845,-4.124982,-4.7908316,7.7381268,-3.6523595,waving
0.62,-1.8287652,-0.022257395,-1.8850186,2.8716018,-2.053636,-3.9321744,-4.7908316,7.7381268,-3.6523595,waving
0.63,-2.6787844,-0.14433768,-2.2864747,0.8647029,-2.5574913,-2.2958434,-5.8780694,6.829432,-3.8700836,waving
0.65,-2.8768141,-0.18757193,-1.9917321,-0.80465037,-2.4499028,-0.26870504,-6.312591,6.562927,-3.6399965,waving
0.67,-2.8482456,-0.17583343,-1.9392291,-0.9921314,-2.5937092,0.26604193,-6.312591,6.562927,-3.6399965,waving
0.68,-2.8482456,-0.17583343,-1.9392291,-0.9921314,-2.5937092,0.26604193,-6.312591,6.562927,-3.6399965,waving
0.7,-1.8512361,0.08494398,-1.4838365,-1.0880023,-3.92312,2.8323214,-6.456443,6.835719,-2.785262,waving
0.71,-1.3181561,0.1797056,-1.4511213,-0.99106616,-4.4100647,3.3841121,-6.324353,7.1254992,-2.3238335,waving
0.73,-1.3181561,0.1797056,-1.4511213,-1.1156985,-4.538958,3.99236,-6.324353,7.1254992,-2.3238335,waving
0.74,-0.53384215,0.3120304,-1.3246199,-1.2925271,-4.7125907,4.164928,-5.750253,7.8276916,-1.3535973,waving
0.76,0.0014330104,0.38358945,-0.98030114,-1.9455149,-4.5006094,4.5420203,-5.150319,8.318857,-0.6642417,waving
0.78,0.12692814,0.41947567,-0.8765451,-1.9455149,-4.5006094,4.5420203,-4.973341,8.437781,-0.49001947,waving
0.79,0.8040713,0.4050846,-0.14567922,-2.3130205,-4.557067,4.316191,-3.9731352,8.953922,0.46026403,waving
0.81,1.4074602,0.8655993,0.46088055,-1.6834676,-3.5502884,3.3542857,-3.1169868,9.227959,1.1399893,waving
0.82,1.4926785,0.80577874,0.5990898,-1.5108999,-3.0208676,2.9825194,-2.928157,9.272536,1.2713621,waving
0.84,1.8841038,1.2038202,1.1643972,-0.78654146,-0.791335,2.0652206,-2.1159909,9.4217825,1.7096689,waving
0.86,2.0631082,1.2243397,1.2774526,-0.82915074,-0.5154396,1.5166255,-1.9821601,9.440321,1.7668493,waving
0.87,2.0057268,0.9112727,1.7350403,-0.8493902,0.38148656,0.047669176,-1.7042854,9.4482355,1.999161,waving
0.89,1.8374853,0.8048031,2.0871644,-0.2656425,1.1752183,-0.4348814,-1.6793215,9.419353,2.1508324,waving
0.9,1.6465291,0.70885235,2.067133,0.53860843,1.9847955,-0.8173,-1.7236791,9.40913,2.160459,waving
