timestamp,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,gravity_x,gravity_y,gravity_z,activity
0.0,-0.06662763,1.0013974,0.114462845,-0.1459968,-0.09857838,-0.00580322,-0.21966918,9.74614,1.065205,standing
0.02,-0.044662476,1.0157968,0.19353738,-0.07147124,-0.13706289,0.004581489,-0.22514936,9.745277,1.0718644,standing
0.03,-0.011226633,1.0206779,0.21452633,0.16615535,-0.0332158,-0.083383106,-0.2312427,9.744004,1.0820439,standing
0.05,-0.03465613,1.0240947,0.14228538,0.23396139,0.054137934,-0.13530666,-0.24189387,9.744412,1.0760884,standing
0.06,-0.024161667,1.004326,0.04075756,0.18081611,0.0388663,-0.14874569,-0.2717001,9.746657,1.048297,standing
0.08,-0.051252022,0.9821169,-0.00024405724,-0.021380283,-0.09980011,-0.12797627,-0.28681788,9.747968,1.0319558,standing
0.09,-0.06662763,0.982849,0.029286869,-0.105068825,-0.17921259,-0.110872045,-0.31232584,9.747667,1.0273855,standing
0.11,-0.07907455,0.9787001,0.037828874,-0.13500121,-0.22869268,-0.09315695,-0.31232584,9.747667,1.0273855,standing
0.12,-0.08005078,0.974063,0.047103047,-0.17348573,-0.30016392,-0.04428773,-0.32944852,9.745121,1.0460162,standing
0.14,-0.08029483,0.96356845,0.046614934,-0.17715092,-0.35453093,0.027183503,-0.33691695,9.741977,1.0726266,standing
0.16,-0.07175283,0.9713784,0.035876416,-0.26633725,-0.41195226,0.093767814,-0.33179012,9.738964,1.1010884,standing
0.17,-0.07565775,0.96576506,0.079562664,-0.30298916,-0.44005206,0.14569137,-0.321988,9.736994,1.1213219,standing
0.19,-0.06418706,0.974063,0.10470056,-0.28160888,-0.48464522,0.1853976,-0.29224545,9.731853,1.1729715,standing
0.21,-0.0156196635,0.986998,0.111290105,-0.26633725,-0.46815184,0.17989981,-0.25189388,9.726882,1.2224016,standing
0.22,-0.015375607,0.98577774,0.12593354,-0.26450464,-0.39973494,0.1255328,-0.21071021,9.721772,1.2699901,standing
0.24,-0.015375607,0.98577774,0.12593354,-0.26450464,-0.39973494,0.1255328,-0.21071021,9.721772,1.2699901,standing
0.26,-0.014399378,0.9884624,0.13862452,-0.23273966,-0.3056617,0.0888809,-0.17872955,9.71627,1.3160713,standing
0.27,-0.011470691,0.9811407,0.14057697,-0.19242255,-0.21830797,0.082161374,-0.15550503,9.710841,1.3584827,standing
0.29,-0.0017084008,0.9987128,0.13691612,-0.22052236,-0.16699529,0.101098195,-0.13491935,9.706002,1.3947923,standing
0.3,0.009274175,1.0053023,0.13911264,-0.22785273,-0.16271923,0.09743301,-0.12418723,9.703345,1.4141108,standing
0.32,0.004881145,1.0084751,0.16815543,-0.23457226,-0.15294538,0.082161374,-0.10099457,9.697569,1.4550054,standing
0.33,0.008053889,1.0094513,0.17645338,-0.22174409,-0.15477799,0.09193522,-0.09071108,9.6943655,1.4768387,standing
0.35,0.015375607,1.0018855,0.18182266,-0.19425514,-0.1633301,0.089491755,-0.06917144,9.687898,1.5198867,standing
0.36,0.010982576,0.999933,0.1901206,-0.17715092,-0.13950635,0.0852157,-0.057751056,9.684845,1.539653,standing
0.38,-0.025137896,0.9984687,0.20256752,-0.15760323,0.021762075,0.06872234,-0.036060326,9.679381,1.5743086,standing
0.39,-0.041001618,1.0060345,0.19280522,-0.14049901,0.1372156,0.13347405,-0.021765258,9.674387,1.6049452,standing
0.41,-0.037828874,1.0028617,0.17962612,-0.13072516,0.12622003,0.1731803,-0.014333062,9.671939,1.619702,standing
0.43,-0.021965152,1.0177492,0.18475133,-0.11789699,-0.019165898,0.26542094,0.012827918,9.667395,1.6465666,standing
0.44,-0.024161667,1.0177492,0.20232345,-0.089186326,-0.084528476,0.29901853,0.033942018,9.665217,1.6590836,standing
0.46,-0.0019524579,1.0070107,0.22111587,-0.022602014,-0.1651627,0.32711834,0.08853052,9.66147,1.6787925,standing
0.47,0.019768637,1.0001771,0.21965154,0.022602014,-0.15294538,0.30757064,0.1196981,9.660181,1.6842613,standing
0.49,0.07809832,0.9992009,0.23161033,0.1001819,0.011377365,0.19700404,0.18111908,9.659069,1.6851327,standing
0.5,0.09493827,0.9977366,0.22331238,0.1386664,0.085292056,0.13958271,0.20535715,9.659283,1.681085,standing
0.52,0.088104665,0.99407566,0.19329333,0.2302962,0.25572348,-0.019242255,0.230401,9.662046,1.6618326,standing
0.53,0.08175918,0.9874862,0.17303659,0.24007004,0.32475123,-0.0571159,0.23121026,9.66475,1.6460009,standing
0.55,0.07004443,0.96308035,0.12886222,0.22785273,0.41271582,-0.110872045,0.21446459,9.671767,1.6065432,standing
0.56,0.057841565,0.9564909,0.110557936,0.20586158,0.43165267,-0.12492194,0.20137715,9.675378,1.5863521,standing
0.58,0.045638707,0.9552705,0.102504045,0.11911872,0.4011094,-0.13225232,0.1709329,9.681559,1.5518086,standing
0.59,0.018792408,0.9601517,0.12154051,0.09590584,0.3730096,-0.13041973,0.15502514,9.683805,1.5393939,standing
0.61,0.009030119,0.96259224,0.12690976,0.09101892,0.2862667,-0.110872045,0.12477058,9.687355,1.5197821,standing
0.62,-0.008542004,0.9650328,0.107873306,0.095294975,0.15920675,-0.038179077,0.09965514,9.690534,1.5012048,standing
0.64,-0.020744866,0.96722937,0.10592084,0.0720821,0.12377657,0.006414085,0.092224404,9.692162,1.4911189,standing
0.66,-0.0353883,0.9699141,0.11348662,0.06352998,0.065133505,0.10781772,0.08978812,9.694677,1.4748417,standing
0.67,-0.020744866,0.9808966,0.10201593,0.0421497,0.012599096,0.15424347,0.09630232,9.695675,1.4678748,standing
0.69,0.01854835,1.0006652,0.11543907,-0.02321288,-0.03443753,0.16401732,0.123331785,9.697148,1.4561434,standing
0.7,0.029774986,1.0035939,0.13740423,-0.03604105,-0.038713586,0.14508049,0.13906974,9.697155,1.4545652,standing
0.72,0.021477038,1.0106715,0.18060236,-0.01160644,0.008323039,0.09254608,0.16695115,9.696351,1.4570459,standing
0.73,0.008786061,1.0077429,0.19548985,0.019547688,0.029092457,0.082161374,0.17733517,9.695915,1.4587294,standing
0.75,0.011958805,1.0013974,0.18206671,0.100792766,0.06757697,0.06383542,0.19219431,9.696244,1.4546131,standing
0.76,0.016351834,0.9984687,0.16351835,0.11789699,0.06391177,0.05589417,0.19770488,9.697308,1.4468005,standing
0.78,0.029042812,0.99358755,0.12935033,0.108123146,0.015653422,0.036957346,0.20589462,9.700331,1.425231,standing
0.8,0.025137896,0.9960281,0.12983845,0.10567969,-0.001450805,0.03268129,0.209585,9.70181,1.4146371,standing
0.81,0.017328065,0.9957841,0.122516744,0.08735373,-0.025274549,0.042455133,0.21281508,9.703242,1.4043033,standing
0.83,0.022209208,0.9928554,0.11202228,0.077579886,-0.037491854,0.04428773,0.22505057,9.706825,1.377275,standing
0.84,0.011226633,0.9874862,0.11617125,0.04153884,-0.055206947,0.038789943,0.22944443,9.707631,1.3708646,standing
0.86,0.007321717,0.98333716,0.114218794,0.03481932,-0.06681339,0.042455133,0.23831601,9.708719,1.3616607,standing
0.87,0.012202863,0.982849,0.107629254,0.02443461,-0.06681339,0.04550946,0.24305648,9.709219,1.357247,standing
