timestamp,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,gravity_x,gravity_y,gravity_z,activity
0.0,-0.053753138,0.9100531,0.47088113,0.29000968,-0.5897396,0.11890664,-0.662105,8.861613,4.1477485,punching
0.02,0.0021647604,0.8961498,0.47676563,0.22822617,-0.3340837,0.10399337,-0.62766945,8.873726,4.127156,punching
0.03,0.0307335,0.92837733,0.47258857,0.11318101,-0.0038614697,-0.025965055,-0.5904043,8.889786,4.0979886,punching
0.05,0.030245667,0.9498725,0.46575886,-0.008255556,0.32316506,-0.20172851,-0.59692895,8.892611,4.090908,punching
0.06,0.00021342709,0.95206773,0.45063603,-0.11903979,0.53301597,-0.37642673,-0.6656257,8.886389,4.0938263,punching
0.08,-0.060369372,0.9435002,0.40715793,-0.17017098,0.51597226,-0.42862314,-0.71945107,8.878667,4.1014695,punching
0.09,-0.1800105,0.9117605,0.34319076,-0.13927922,-0.008122402,-0.3657744,-0.82549155,8.858639,4.124739,punching
0.11,-0.30648127,0.89319235,0.34489816,0.09720252,-1.112769,-0.11544463,-0.8530148,8.848401,4.141081,punching
0.13,-0.2903828,0.8878262,0.3749304,0.17816022,-1.4408609,0.015579033,-0.8356571,8.850431,4.1402802,punching
0.14,-0.2212629,0.82922524,0.43353137,0.3038577,-1.9127591,0.35112745,-0.689846,8.869821,4.125625,punching
0.16,-0.17293692,0.87904525,0.40447482,0.15259463,-1.7199519,0.73780704,-0.58229953,8.884186,4.111272,punching
0.17,-0.10796362,0.89294845,0.40691397,0.0290276,-1.4706874,0.77828586,-0.32851437,8.9096,4.084298,punching
0.19,0.12741597,0.8949303,0.44670287,-0.11158316,-0.86989594,0.692002,-0.08905953,8.910488,4.094589,punching
0.21,0.13744704,0.90054035,0.4352388,-0.20745413,-0.536478,0.5982615,0.008030999,8.905261,4.1069026,punching
0.22,0.12692814,0.9417927,0.39813298,-0.25325915,-0.39267153,0.38628012,0.14264397,8.883406,4.151522,punching
0.24,0.10323773,0.9356948,0.40959707,-0.101996064,-0.6951977,0.2627131,0.1958756,8.873345,4.1708217,punching
0.25,-0.011281146,0.818005,0.48871753,0.3230319,-1.1276823,0.22436471,0.34199956,8.879053,4.1491957,punching
0.27,-0.05960714,0.8202003,0.47039333,0.36670646,-1.0147676,0.3884106,0.3750624,8.885009,4.133561,punching
0.28,-0.04838697,0.84681773,0.45063603,0.34966275,-0.8752221,0.5236952,0.4473042,8.897674,4.098988,punching
0.3,0.060765743,0.9195659,0.35441092,0.34433657,-0.9082443,0.6824149,0.6160632,8.918235,4.031867,punching
0.32,0.18065079,0.9740202,0.28236404,0.300662,-1.2800106,0.5215647,0.86228347,8.941898,3.9331024,punching
0.33,0.19946286,0.97844124,0.2862972,0.24526991,-1.3609684,0.4374113,0.9112502,8.945903,3.912908,punching
