timestamp,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,gravity_x,gravity_y,gravity_z,activity
0.0,0.27334413,0.53793263,0.88522613,0.51809007,0.073303826,0.06154467,2.6129973,5.1982403,7.8943577,punching
0.02,0.32923323,0.5530642,0.8703387,0.6488153,0.2828306,0.17027868,2.611141,5.234009,7.871302,punching
0.03,0.37218732,0.5628265,0.8176223,0.7031823,0.54367006,0.20082195,2.599986,5.2782197,7.845434,punching
0.05,0.38536638,0.5462307,0.7336666,0.5449681,0.59131753,0.03283401,2.5342922,5.3729663,7.8024945,punching
0.07,0.3692586,0.54208165,0.7429407,0.33238706,0.18325958,-0.08689558,2.4647126,5.4479136,7.772759,punching
0.08,0.36510965,0.5210927,0.7485541,0.30062205,0.09468412,-0.101556346,2.4498959,5.475234,7.7582316,punching
0.1,0.34802565,0.48054874,0.7258568,0.30428725,0.15210545,-0.08750644,2.4449162,5.4988008,7.7431207,punching
0.11,0.36169282,0.4927516,0.72829735,0.28473955,0.66767573,-0.094225965,2.419843,5.545243,7.7178335,punching
0.13,0.3653537,0.4971446,0.73098195,0.22365303,1.0268645,-0.09666943,2.419843,5.545243,7.7178335,punching
0.14,0.3392396,0.5196284,0.8442246,0.16562083,2.2369885,-0.15714508,2.1817427,5.5965104,7.751735,punching
0.16,0.26236153,0.51474726,0.9372103,0.50159675,3.3976326,-0.12843442,1.8063763,5.6285505,7.8247557,punching
0.17,0.2020794,0.5269501,0.89913744,0.7758752,3.6419785,-0.019700404,1.5488254,5.662431,7.8554654,punching
0.19,0.09737884,0.5281704,0.81347334,1.1918745,3.335935,0.24663684,1.0025032,5.789323,7.851688,punching
0.2,0.055645052,0.55818945,0.735375,1.0495429,3.2742376,0.42928556,0.7603408,5.874756,7.8153324,punching
0.22,0.0741934,0.6235968,0.5938218,0.4899903,3.2345314,0.48426342,0.31937078,6.030543,7.7266383,punching
0.24,-0.006833603,0.5789343,0.7007189,0.04955644,2.4495697,0.5917757,0.104336284,6.0689826,7.7023954,punching
0.25,-0.010738519,0.56941605,0.82323563,-0.012140946,2.5082128,0.59849524,-0.23240897,6.094958,7.6790504,punching
0.27,0.05735345,0.58650005,0.8793688,0.04589125,3.0439415,0.60154957,-0.5551061,6.095657,7.6619277,punching
0.28,0.13471961,0.58430356,0.90231013,0.08437576,3.2168164,0.5410739,-0.7393537,6.100995,7.6420875,punching
0.3,0.13471961,0.58430356,0.90231013,0.08315403,3.3567045,0.32910365,-0.942189,6.1103163,7.612268,punching
0.31,0.05222825,0.57112443,0.90133387,0.020845776,3.309057,-0.12110403,-1.1634208,6.1185613,7.574957,punching
0.33,-0.40098605,0.65215147,0.84202796,-0.09949467,2.2962425,-0.32330042,-1.8542612,6.1099815,7.443128,punching
0.35,-0.4807928,0.6665509,0.91109616,-0.20273091,2.0702224,-0.11133019,-2.0363195,6.094736,7.4079595,punching
