timestamp,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,gravity_x,gravity_y,gravity_z,activity
0.0,0.504938,0.084212236,0.6154627,0.22636202,-1.1065108,0.04447348,5.324847,1.068494,8.165459,standing
0.02,0.54423904,0.09790205,0.60177296,0.20612259,-1.4122326,0.2415416,5.4411554,1.0735921,8.087745,standing
0.03,0.50396234,0.085431814,0.47258857,0.21144876,-1.4718857,0.19786704,5.6773105,1.083257,7.9224424,standing
0.05,0.46121594,0.050765157,0.39471814,0.20292689,-1.5528435,0.20745413,5.738163,1.086008,7.8781,standing
0.06,0.27760765,-0.04692347,0.092170015,0.12516488,-2.1078298,0.43647924,6.1337223,1.0540106,7.578713,standing
0.08,0.24367274,-0.13311753,0.014513042,-0.4575176,-3.3979602,1.546452,6.591753,0.87977934,7.207299,standing
0.1,0.26221043,-0.15168568,0.021098793,-0.7579133,-4.279973,2.3230069,7.1480665,0.5261274,6.6931844,standing
0.11,0.35965514,-0.23836756,0.14098383,-0.76323944,-4.503672,2.4945095,7.1480665,0.5261274,6.6931844,standing
0.13,0.41971964,-0.33114737,0.15174666,-0.76323944,-4.503672,2.4945095,7.1480665,0.5261274,6.6931844,standing
0.14,0.45414236,-0.4173414,0.16443032,-0.72489107,-5.4932737,3.7195275,8.068622,-0.28610238,5.5664964,standing
0.16,0.62384737,-0.6461657,0.18153499,-0.63647676,-5.4570556,3.8803775,8.460989,-0.8266827,4.888626,standing
0.17,0.6018949,-0.671777,0.21766515,0.20612259,-4.8157854,4.2127304,8.873921,-1.7460957,3.791445,standing
0.19,0.62506694,-0.73431116,0.20522538,0.5906717,-4.6421523,4.6016736,8.984594,-2.3278372,3.1667993,standing
0.21,0.71568197,-0.8112364,0.16711341,0.8931979,-4.211798,4.924439,8.992451,-2.946595,2.5736744,standing
0.22,0.7579101,-0.82831055,0.12854409,0.8931979,-4.211798,4.924439,8.9715185,-3.1589317,2.388177,standing
0.24,0.9127362,-0.99094194,0.106317185,0.27003658,-3.392634,5.359054,8.684886,-4.2673016,1.5916295,standing
0.25,1.1039364,-1.0361276,0.16638166,-0.19866596,-2.6214054,5.45386,8.247687,-5.1967835,1.0674646,standing
0.27,1.1564394,-1.0419815,0.17958365,-0.31477636,-2.3123546,5.385685,8.116033,-5.420544,0.9581773,standing
0.29,1.2399504,-1.0190228,0.28434587,-0.3190373,-1.7445854,4.9287,7.3760195,-6.4422884,0.51151526,standing
0.3,1.2387308,-1.0937529,0.27382696,0.31051543,-1.6710843,4.265992,6.765809,-7.0936465,0.2727407,standing
0.32,1.2121134,-1.1736051,0.21595772,0.6492595,-1.752042,4.04975,6.4679174,-7.368788,0.19338985,standing
0.33,1.1183275,-1.2495241,0.09314568,1.1051793,-1.8873266,3.9016824,5.87677,-7.849971,0.10915241,standing
0.35,1.1661961,-1.191411,-0.0062503647,1.195724,-1.8905224,3.922987,5.2620773,-8.274757,0.096420944,standing
0.36,1.2040337,-1.1740929,-0.05704601,1.1531148,-1.5784091,3.877182,5.105156,-8.37241,0.102625385,standing
0.38,1.2721778,-1.0373471,-0.08537084,1.1531148,-1.5784091,3.877182,4.641337,-8.637919,0.12134023,standing
0.39,1.2821785,-0.96334887,-0.04530752,0.3967993,-1.089467,3.3573482,4.350093,-8.788267,0.115905255,standing
0.41,1.2733976,-0.8454151,0.12561709,0.055924732,-0.7880061,2.5275316,3.7311172,-9.068932,0.060212485,standing
0.43,1.2362916,-0.80510795,0.16735733,0.26897132,-0.6601782,1.8202169,3.452577,-9.178698,0.040053714,standing
0.44,1.1620495,-0.80510795,0.16028373,0.45538712,-0.54619825,1.4825381,3.3106954,-9.230777,0.04951084,standing
0.46,1.0614339,-0.79535127,0.106317185,0.64712906,-0.049799643,0.96696526,3.1051104,-9.30119,0.12861618,standing
