timestamp,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,gravity_x,gravity_y,gravity_z,activity
0.0,0.36730617,-0.7512387,0.24991462,0.6653086,-0.52106804,0.14950927,2.2353816,-7.705974,5.638379,waving
0.02,0.2523552,-0.70535594,0.58723223,0.5419138,-0.34513888,-0.04352415,2.2752402,-7.6376348,5.714903,waving
0.04,0.2660224,-0.7221959,0.7341547,-0.04024075,0.048258353,0.06887506,2.3176687,-7.584074,5.768922,waving
0.05,0.21891935,-0.7707633,0.594554,-0.29741502,-0.081855945,0.20815234,2.2953513,-7.599847,5.757073,waving
0.07,0.16400647,-0.80712783,0.5423257,-0.28641945,-0.49418998,0.24236079,2.2804892,-7.6200743,5.7362056,waving
0.08,0.1010397,-0.79516906,0.49201941,-0.27114782,-1.5619824,0.33215797,2.306272,-7.6639276,5.6670613,waving
0.1,0.13716017,-0.78955567,0.50840175,-0.35361463,-2.2876904,0.36392298,2.357024,-7.686692,5.6151114,waving
0.11,0.15424417,-0.7983418,0.54256976,-0.38965568,-2.4459045,0.36025777,2.5171597,-7.7409253,5.4692044,waving
0.14,0.17376876,-0.82128316,0.5406173,-0.3554472,-2.4288,0.3651447,2.8075533,-7.833588,5.1887126,waving
0.15,0.20281157,-0.83739096,0.46273252,-0.070173144,-2.638938,0.5215262,2.890176,-7.8602524,5.1023116,waving
0.17,0.18572757,-0.79565716,0.45077375,0.10147999,-3.1135802,0.73716164,3.0579035,-7.9016805,4.9379067,waving
0.19,0.27871338,-0.7656381,0.505229,0.1521818,-3.4715471,0.7817548,3.1441734,-7.921533,4.8511543,waving
0.2,0.3360668,-0.71267766,0.6382402,-0.03718642,-3.0848694,0.6986771,3.335059,-7.9615097,4.6542497,waving
0.22,0.32410803,-0.72243994,0.61700726,-0.22044599,-2.44285,0.49403727,3.4929934,-8.011242,4.448502,waving
0.24,0.3316738,-0.7170707,0.54867125,-0.3542255,-2.302962,0.399964,3.5573046,-8.036452,4.351001,waving
0.25,0.35437113,-0.7527031,0.29091623,-0.9901362,-2.883895,0.21059579,3.684957,-8.095259,4.1301494,waving
0.27,0.598947,-0.726833,0.39708114,-1.231428,-3.0995302,0.16539176,3.7767682,-8.136613,3.9625447,waving
0.28,0.5618503,-0.8761961,0.4742032,-1.6736944,-3.0921998,0.3559817,3.9706256,-8.246349,3.5216668,waving
0.3,0.6133464,-0.88254154,0.60041136,-1.7598264,-2.8417451,0.38835758,4.044634,-8.314179,3.2688751,waving
0.32,0.5635587,-0.87912476,0.4702983,-1.8349628,-2.0751092,0.32238412,4.1477156,-8.445183,2.765031,waving
0.33,0.4510178,-0.8547189,0.34729347,-2.0005074,-2.2907448,0.3052799,4.197102,-8.56305,2.2866368,waving
0.35,0.24649782,-0.73049384,0.5533083,-2.1617758,-0.66645396,-0.11438452,4.2187567,-8.617441,2.0278034,waving
0.36,0.22843759,-0.61041766,0.8798569,-0.30963233,1.3518448,-1.6690365,4.2948995,-8.6580305,1.6620477,waving
0.38,0.4932397,-0.74611354,0.17718557,0.3384957,1.7440202,-1.7240144,4.4113455,-8.597936,1.669031,waving
0.39,0.5984589,-1.2020124,-0.079562664,0.49487722,1.5882497,-0.8046622,4.6097527,-8.43707,1.9329169,waving
0.41,0.5457425,-1.1141518,-0.10079564,0.41302127,0.74097955,-0.27076602,4.6470966,-8.3861,2.061023,waving
0.42,0.5413495,-0.6211562,-0.2884757,-0.2870303,-0.45020768,-0.07651087,4.649692,-8.35649,2.172496,waving
0.44,0.58479166,-0.57917833,0.06369894,-0.7512879,-0.59620446,-0.9964739,4.649692,-8.35649,2.172496,waving
